MICROCHIP #,Pet,DOG/CAT,BREED,Lenghth (in),Width(in),Height(in),Airline ,3L code,AWB,Weight (kg),Weight (lbs),FROM,VIA,TO,,,,,,,,,,,
900-111-880-463-877,Sushi,DOG,Havanese,24,16,15,KLM,074,074-02273935,9,20,MIA,AMS,BKK,,,,,,,,,,,
985-113-009-048-029,Pepper,DOG,Texas Heeler,36,25,27,Lufthansa Cargo (LH),020,020-20736450,16,35,ATL,,FRA,,,,,,,,,,,
985-113-009-103-693,Monty,DOG,Labrador Mix,40,27,30,Lufthansa Cargo (LH),020,020-20736450,25,55,ATL,,FRA,,,,,,,,,,,
981-020-021-801-288,Beatrix,CAT,Domestic Shorthair,28,21,22,Lufthansa Cargo (LH),020,020-26751082,5,10,DEN,FRA,MAD,,,,,,,,,,,
956-000-017-650-562,Begonia,CAT,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-26751082,4,8,DEN,FRA,MAD,,,,,,,,,,,
985-112-010-384-743,Candelaria,CAT,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-26751082,4,8,DEN,FRA,MAD,,,,,,,,,,,
956-000-018-239-234,Irene,CAT,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-26751082,2,5,DEN,FRA,MAD,,,,,,,,,,,
956-000-018-270-584,Win,DOG,French Bulldog,36,25,27,Turkish Cargo,235,235-85456711,2,5,LAX,IST,BKK,,,,,,,,,,,
985-141-007-135-706,Koda,DOG,German Shepherd,48,32,35,KLM,074,074-67470421,51,112,IAD,DXB,MNL,,,,,,,,,,,
911-002-001-382-322,Leia,DOG,Husky (Mix),48,32,35,KLM,074,074-48557132,47,104,LAX,AMS,ICN,,,,,,,,,,,
981-020-045-006-366,Roger,DOG,Staffordshire Bull Terrier,40,27,30,KLM,074,074-49012655,30,65,ATL,AMS ,VCE,,,,,,,,,,,
985-141-007-420-991 (900-235-000-748-246,Edward,DOG,Staffordshire Bull Terrier,40,27,30,KLM,074,074-49012655,29,63,ATL,AMS ,VCE,,,,,,,,,,,
900-141-000-593-512,Blue,DOG,Golden Retriever,36,26,27,Copa Airline Cargo,230,230-64689866,10,22,JFK,PTY,SDQ,,,,,,,,,,,
977-200-010-379-060,John Forbes Nash,DOG,Dalmatian,40,27,30,Copa Airline Cargo,230,230-64689866,9,19,JFK,PTY,SDQ,,,,,,,,,,,
990-000-000-553-291,Tattoo,DOG,Yorkshire Terrier,28,21,21,Qatar Airways,157,157-30861821,4,8,ATL,DOH,DXB,,,,,,,,,,,
991-003-911-505-501,Rocky,DOG,Poodle Mix,36,25,27,British Airways (BA),125,125-13429275,12,26,SEA,FRA,DUB,,,,,,,,,,,
956-000-012-447-483,Maggie,DOG,Australian Shepherd,36,25,27,Lufthansa Cargo (LH),020,020-20736494,19,42,IAH,AMS,CPH,,,,,,,,,,,
956-000-017-751-796,Cooper,DOG,Australian Shepherd,40,27,30,Lufthansa Cargo (LH),020,020-20736494,30,66,IAH,AMS,CPH,,,,,,,,,,,
981-020-055-812-964,Rio,DOG,Labrador Retriever,48,32,35,KLM,074,074-48515832,30,66,SFO,AMS,DMM,,,,,,,,,,,
985-112-011-455-820,Milo,DOG,Australian Shepherd,40,27,30,Lufthansa Cargo (LH),020,020-20736520,33.4,73,SFO,,FRA,,,,,,,,,,,
981-020-055-821-300,Tifa Rivero,DOG,German Shepherd,40,27,30,Lufthansa Cargo (LH),020,020-20736520,37,81,SFO,,FRA,,,,,,,,,,,
956-000-010-304-857,Ramza,DOG,Mixed,41,25,34,Lufthansa Cargo (LH),020,020-20736520,34,75,SFO,,FRA,,,,,,,,,,,
985-113-008-633-460,Saeba,DOG,Bulldog English,36,25,27,KLM,074,074-48504385,16,35,ATL,AMS,BCN,,,,,,,,,,,
981-020-043-436-230,Indy,DOG,American Bulldog,36,25,27,British Airways (BA),125,125-13428660,21,45,ATL,LHR,CAI,,,,,,,,,,,
982-126-054-660-583,Snowball,CAT,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-20736516,9,20,ATL,FRA,LIS,,,,,,,,,,,
985-112-010-998-287,Dubya,DOG,Rottweiler,52,31,33,Lufthansa Cargo (LH),020,020-20736516,23,50,ATL,FRA,LIS,,,,,,,,,,,
981-020-017-536-056,Rosie,DOG,Mastiff-Cane Carso,52,31,33,Lufthansa Cargo (LH),020,020-20736516,23,50,ATL,FRA,LIS,,,,,,,,,,,
956-000-003-487-106,Poggle,DOG,Whippet Mix,48,32,35,British Airways (BA),125,125-13428026,21,46,ATL,,LHR,,,,,,,,,,,
977-200-009-056-966,Twiggy,DOG,Whippet Mix,48,32,35,British Airways (BA),125,125-13428026,19,41,ATL,,LHR,,,,,,,,,,,
985-113-000-117-870,Storm,DOG,Boxer,48,32,35,KLM,074,074-48433744,37,82,LAX,AMS,SGL,,,,,,,,,,,
985-141-007-045-121,Pepper,DOG,Greyhound,48,32,35,British Airways (BA),125,125-13427772,28,62,ORD,,LHR,,,,,,,,,,,
985-113-007-062-551,Diesel,DOG,Cairn Terrier,32,22,23,Emirates,176,176-73217642,5,11,DFW,,DXB,,,,,,,,,,,
982-091-061-959-034,Willy,DOG,Labrador Retriever,48,32,40,KLM,074,074-48300744,49,108,ORD,AMS ,MNL,,,,,,,,,,,
985-141-001-832-606,Stella,DOG,Boxer,40,27,30,KLM-Air France,057,057-52700082,23,51,MIA,AMS,OPO,,,,,,,,,,,
981-020-029-279-242,Po,DOG,Labrador Mix,36,25,27,Volaris Carga,036,036-61718296,15,33,ORD,MEX,SJO,,,,,,,,,,,
981-020-035-329-479,Theo,DOG,Golden Retriever,48,32,35,British Airways (BA),125,125-12326440,36,80,ORD,,LHR,,,,,,,,,,,
982-09-069-877-168,Willow,DOG,Golden Retriever,48,32,35,British Airways (BA),125,125-12326440,30,65,ORD,,LHR,,,,,,,,,,,
985-141-005-005-548,Isabella,DOG,Chihuahua Mix,28,21,21,Qatar Airways,157,157-30861821,7,14,ATL,DOH,DXB,,,,,,,,,,,
985-141-005-713-469,Toby,DOG,Dachshund,28,21,21,Qatar Airways,157,157-30861821,6,14,ATL,DOH,DXB,,,,,,,,,,,
981-020-047-856-823,Henri,DOG,Poodle Mix,36,25,27,KLM,074,074-48340482,7,15,ATL,AMS,RUH,,,,,,,,,,,
956-000-013-491-613,Leo,DOG,Labrador Retriever,52,32,34,Emirates,176,176-76718320,45,100,IAH,DXB,BLR,,,,,,,,,,,
985-141-005-983-020,Freddy,DOG,Bernese Mt Mix,48,32,40,Lufthansa Cargo (LH),020,020-20736446,35,76,JFK,FRA,DUB,,,,,,,,,,,
985-113-008-848-437,Cat,CAT,Domestic Shorthair,28,21,21,KLM,074,074-48246122,5,12,IAH,,LHR,,,,,,,,,,,
985-141-006-931-976,Snoopy,DOG,Bernese Mt Mix,40,27,30,KLM,074,074-47261373,15,32,ORD,AMS,MNL,,,,,,,,,,,
982-000-019-062-522-1,Apollo,DOG,Maltese,28,21,21,Emirates,176,176-73132861,5,11,JFK,LHR,DXB,,,,,,,,,,,
982-091-069-472-129,Zeus,DOG,Maltese,24,16,15,Emirates,176,176-73132861,1,2,JFK,LHR,DXB,,,,,,,,,,,
982-000-410-390-188,Nuggets,DOG,Maltipoo,24,16,15,Emirates,176,176-73132861,4,9,JFK,LHR,DXB,,,,,,,,,,,
982-000-400-092-684,Dino,DOG,Chihuahua,28,21,21,Emirates,176,176-73132861,2,4,JFK,LHR,DXB,,,,,,,,,,,
981-020-021-093-085,Nala Pate,DOG,Domestic Shorthair,28,21,21,KLM,074,074-46799502,10,23,IAD,AMS,MAN,,,,,,,,,,,
981-020-049-907-666,Bubby,DOG,Jack Russel Mix,28,21,21,KLM,074,074-46806701,10,22,ORD,AMS,MNL,,,,,,,,,,,
985-112-003-773-978,Brutus,DOG,Labrador Retriever,48,32,35,Lufthansa Cargo (LH),020,020-20736435,23,50,ATL,,FRA,,,,,,,,,,,
985-112-008-064-386,Zoe,DOG,Shih Tzu Mixed,27,20,19,KLM,074,074-50061992,8,18,IAD,AMS,MNL,,,,,,,,,,,
985-113-004-960-209,Sarah,DOG,American Bulldog,40,25,28,KLM,074,074-6608590,24,53,LAX,FRA,OTP,,,,,,,,,,,
991-003-001-564-710,Kenia,DOG,Rhodesian Ridgeback,48,32,35,Latam Airlines Group,045,045-02791121,54,120,MIA,,LIM,,,,,,,,,,,
985-112-008-024-539,Buzz,DOG,"Cocker Spaniel, American",40,27,30,KLM,074,074-45737532,13,28,SFO,AMS,MNL,,,,,,,,,,,
991-003-911-131-224,Roz,CAT,Domestic Shorthair,28,21,21,Emirates,176,176-72649625,5,11,IAH,DXB,RUH,,,,,,,,,,,
985-113-004-530-729,Coco,DOG,American Bully,48,32,35,Volaris Carga,621,621-61672984,34,75,LAX,MEX,SJO,,,,,,,,,,,
981-020-051-831-763,Princess,CAT,Domestic Longhair,28,21,21,KLM,074,074-66068450,3,8,LAX,FRA,BCN,,,,,,,,,,,
981-020-051-689-739,Djogo,DOG,French Bulldog,36,25,27,Turkish Cargo,235,235-85456700,9,20,LAX,IST,CDG,,,,,,,,,,,
985-112-012-382-879,Rocky,DOG,Dachshund (Mix),31,22,26,KLM,074,074-47380454,14,30,IAH,AMS,MAD,,,,,,,,,,,
981-020-051-847-114,Bheem,DOG,Labrador Retriever,48,32,35,Qatar Airways,157,157-30861810,34,75,LAX,DOH,BLR,,,,,,,,,,,
602-860-872,Ryan,DOG,Rottweiler,48,32,35,Lufthansa Cargo (LH),020,020-20736354,39,86,ATL,FRA,MAD,,,,,,,,,,,
981-020-013-133-216,Kai,DOG,German Shepherd Mix,48,32,40,Lufthansa Cargo (LH),020,020-20736354,26,57,ATL,FRA,MAD,,,,,,,,,,,
900-215-004-453-642,Lucious,DOG,Schnauzer (Giant),48,32,40,Lufthansa Cargo (LH),020,020-20736354,46,101,ATL,FRA,MAD,,,,,,,,,,,
933-000-320-891-140,Lady Godiva,DOG,Standard Poodle,48,32,35,Lufthansa Cargo (LH),020,020-20736365,21,47,JFK,AMS,BRU,,,,,,,,,,,
985-113-006-120-987,London,DOG,Labrador Retriever,48,32,35,Emirates,176,176-98178474,40,88,IAH,DXB,RUH,,,,,,,,,,,
528-210-004-567-957,Candy,DOG,Cane Corso,48,32,35,KLM,074,074-50458645,23,50,MIA,,AMS,,,,,,,,,,,
985-113-007-522-037,Miami,DOG,Mastiff-Cane Carso,48,32,35,KLM,074,074-50458645,23,50,MIA,,AMS,,,,,,,,,,,
985-113-007-521-877,Midnight,DOG,Mastiff-Cane Carso,48,32,35,KLM,074,074-50458645,23,50,MIA,,AMS,,,,,,,,,,,
528-210-004-349-715,Cookie,DOG,Mastiff,30,31,37.5,KLM,074,074-50458645,23,50,MIA,,AMS,,,,,,,,,,,
985-113-004-939-360,Islay,DOG,Goldennoodle,45,26,31,British Airways (BA),125,125-12103556,18,40,DEN,,LHR,,,,,,,,,,,
982-091-069-631-361,Stieve,DOG,Shepherd Mix,48,32,35,KLM,074,074-55475921,26,56,LAX,AMS,LIS,,,,,,,,,,,
034-017-597,Tyson,DOG,Pit Bull,48,32,35,KLM,074,074-45810612  ,29,65,IAH,AMS,KGL,,,,,,,,,,,
981-020-055-375-560,Grizzly,DOG,Shar Pei,40,27,30,KLM,074,074-45810612  ,21,46,IAH,AMS,KGL,,,,,,,,,,,
981-020-021-093-085,Nala,CAT,Domestic Shorthair,28,21,21,KLM,074,074-46799502,4,9,IAD,AMS,MAN,,,,,,,,,,,
981-020-049-907-66,Bubby,DOG,Jack Russel,28,21,21,KLM,074,074-46806701,10,22,ORD,AMS,MNL,,,,,,,,,,,
981-020-041-676-027,Rocky,DOG,Labrador Retriever,40,27,30,Lufthansa Cargo (LH),020,020-2058523,31,68,ATL,,FRA,,,,,,,,,,,
990-000-002-661-926,Timber,DOG,German Shorthair Pointer,48,32,35,Lufthansa Cargo (LH),020,020-5527804,28,62,SEA,,FRA,,,,,,,,,,,
985-141-002-145-218,Jax,DOG,German Wirehaired Pointer,48,32,35,Lufthansa Cargo (LH),020,020-5527804,34,75,SEA,,FRA,,,,,,,,,,,
981-020-000-919-780,Trigger,CAT,Domestic Shorthair,28,21,21,Avianca Cargo,729,729-49359026,5,11,IAD,,BOG,,,,,,,,,,,
985-112-003-981-331,Mouse,DOG,Cocker Span Mix,36,25,30,British Airways (BA),125,125-11182286,13,29,PIT,,LHR,,,,,,,,,,,
939-000-007-001-905,Chip,DOG,Rat Terrier Mix,28,18,21,British Airways (BA),125,125-11182286,10 lbs (22.04 lbs),#VALUE!,PIT,,LHR,,,,,,,,,,,
981-020-055-453-045,Phoebe,DOG,Australian Shepherd,48,32,35,KLM,074,074-47836095,27,59,ORD,AMS,DXB,,,,,,,,,,,
985-141-004-195-242,Rozsda,DOG,Vizsla,48,32,35,Volaris Carga,036,036-61701441,27,59,IAH,MEX,SJO,,,,,,,,,,,
981-020-021-651-715,Zoosa,DOG,Weimaraner,48,32,35,Volaris Carga,036,036-61701441,27,59,IAH,MEX,SJO,,,,,,,,,,,
985-141-006-954-915,Doshka,DOG,German Shepeherd,48,32,35,KLM-Air France,057,057-51063180,38,83,JFK,CDG,BEY,,,,,,,,,,,
982-126-054-926-788,Devoshka,DOG,German Shepherd,48,32,35,KLM-Air France,057,057-51063180,36,80,JFK,CDG,BEY,,,,,,,,,,,
981-020-049-177-596,Arnie,DOG,Weimaraner,48,32,35,KLM-Air France,057,057-48089064,27,59,IAD,CDG,MRU,,,,,,,,,,,
900-164-001-303-264,Obie,DOG,Lab Mix,40,27,30,Northern Air Cargo,345,345-34519892,32,71,MIA,PTY,LIM,,,,,,,,,,,
981-020-015-410-990,Wally,DOG,Basset Hound,48,32,35,KLM,074,074-50089373,26,57,ATL,AMS,PRG,,,,,,,,,,,
953-010-006-304-131,Leo,DOG,Lhasa Apso,32,22,23,KLM-Air France,057,057-50558421,8,18,ORD,CDG,GRU,,,,,,,,,,,
985-141-006-747-462,Charlie,DOG,Husky,48,32,35,British Airways (BA),125,125-11181483,16,35,DEN,,LHR,,,,,,,,,,,
991-003-001-734-089,June,DOG,Tibetan Spaniel,32,22,23,Lufthansa Cargo (LH),020,020-5102370,5,10,SEA,FRA,BCN,,,,,,,,,,,
985-113-007-298-501,Dallas,DOG,Tibetan Spaniel,27,20,19,Lufthansa Cargo (LH),020,020-5102370,10,22,SEA,FRA,BCN,,,,,,,,,,,
991-003-001-530-039,Cash,DOG,Tibetan Spaniel,27,20,19,Lufthansa Cargo (LH),020,020-5102370,6,13,SEA,FRA,BCN,,,,,,,,,,,
981-020-011-570-876,Bruce,DOG,Cane Corso,40,27,30,Northern Air Cargo,345,345-34465734,22,48,JFK,PTY,SDQ,,,,,,,,,,,
941-000-027-744-305,Precious,DOG,Carolina Mixed,40,27,33,Copa Airline Cargo,230,230-62987971,16,36,JFK ,PTY,GIG,,,,,,,,,,,
933-000-320-485-077,Monti,DOG,"Pinscher, Doberman",40,27,33,Copa Airline Cargo,230,230-62987971,44,96,JFK ,PTY,GIG,,,,,,,,,,,
230-629-879-71P-IPE,Piper the Peanut,CAT,Domestic Shorthair,28,21,21,Copa Airline Cargo,230,230-62987971,5,10,JFK ,PTY,GIG,,,,,,,,,,,
230-629-879-71S-NAP,Snap,CAT,Domestic Mediumhair,28,21,21,Copa Airline Cargo,230,230-62987971,5,12,JFK ,PTY,GIG,,,,,,,,,,,
985-113-006-886-167,Sadie,DOG,Airdale,40,27,30,Avianca Cargo,729,729-42770755,34,75,MIA,,SJO,,,,,,,,,,,
985-113-006-885-769,Walter,DOG,Airdale,40,27,30,Avianca Cargo,729,729-42770755,38,84,MIA,,SJO,,,,,,,,,,,
941-000-030-112-564,Billoo,DOG,Bengal,28,21,21,KLM,074,074-48648725,6,13,JFK,AMS,DEL,,,,,,,,,,,
985-141-004-115-944,Nawaaz,DOG,Golden Retriever,48,32,35,KLM,074,074-48648725,34,74,JFK,AMS,DEL,,,,,,,,,,,
900-115-001-202-789,Rex,DOG,German Shepherd,52,31,39,Emirates,176,176-97213841,37,81,SEA,FRA,CPT,,,,,,,,,,,
985-113-008-409-187,Slyvia,CAT,Domestic Mediumhair,28,21,21,British Airways (BA),125,125-11179770,41,90,ATL,,LHR,,,,,,,,,,,
987-000-008-740-473,Viva,DOG,Chihuahua,32,22,24,British Airways (BA),125,125-11180396,5,11,MIA,MAD,MAD,,,,,,,,,,,
981-000-004-616-093,Woody,DOG,Terrier Mix,32,22,24,British Airways (BA),125,125-11180374,10,23,ATL,,LHR,,,,,,,,,,,
981-020-017-514-303,Pepper,DOG,Lab Mix,36,25,27,Lufthansa Cargo (LH),020,020-1656690,17,38,ORD,,MUC,,,,,,,,,,,
981-020-053-692-904,Boy,CAT,Domestic Mediumhair,28,21,21,Emirates,176,176-97338872,7,15,IAH,DXB,MNL,,,,,,,,,,,
982-000-363-303-336,Putty,CAT,Domestic Mediumhair,28,21,21,Emirates,176,176-97338872,7,15,IAH,DXB,MNL,,,,,,,,,,,
982-091-065-845-436,Shitter,CAT,Domestic Shorthair,28,21,21,Emirates,176,176-97338872,7,15,IAH,DXB,MNL,,,,,,,,,,,
985-141-006-124-528,Cash,DOG,Labrador Retriever,40,27,30,Copa Airline Cargo,230,230-62987772,44,96,JFK,,SDQ,,,,,,,,,,,
985-141-003-346-447,Molly,DOG,Heeler Mix,48,32,35,British Airways (BA),125,125-11179125,22,48,DEN,,LHR,,,,,,,,,,,
991-003-911-085-713,Gunner,DOG,Belgium Malinois,40,27,30,British Airways (BA),125,125-11179125,22,48,DEN,,LHR,,,,,,,,,,,
941-000-027-750-073,Theodore,DOG,Labrador Retriever,40,27,30,Lufthansa Cargo (LH),020,020-04920296,23,50,ATL,,FRA,,,,,,,,,,,
985-141-003-601-993,Leo Awasty,DOG,German Shepherd,48,32,35,Qatar Airways,157,157-69593580,46,101,ORD,AMS,DEL,,,,,,,,,,,
981-020-049-233-452,Super Larry,CAT,Domestic Shorthair,26,17,20,KLM,074,074-46135961,9,20,MIA,AMS,BCN,,,,,,,,,,,
981-020-019-268-488,Monroe,CAT,Domestic Shorthair,26,17,20,KLM,074,074-46135961,9,20,MIA,AMS,BCN,,,,,,,,,,,
985-113-008-163-607,Winston,DOG,Labradoodle,40,27,30,Lufthansa Cargo (LH),020,020-04530470,12,26,MCO,LHR,FRA,,,,,,,,,,,
965-000-000-368-055,Kato,DOG,Siberian Husky,48,32,35,KLM,074,074-62955406,25,56,LAX,FRA,FCO,,,,,,,,,,,
985-141-003-556-641,Elsa,DOG,Maltipoo,28,21,24,KLM,074,074-46237590,6,13,IAH,AMS,HEL,,,,,,,,,,,
981-020-047-856-823,Henri Ophelia,DOG,Poodle Mix,36,25,27,KLM,074,074-48747204,7,15,ATL,AMS,RUH,,,,,,,,,,,
985-141-006-214-867,Raven,DOG,German Shepherd,48,32,35,Emirates,176,176-91851502,36,80,IAD,DXB,JED,,,,,,,,,,,
956-000-004-845-332,Cooper,DOG,German Shepherd,48,32,35,Emirates,176,176-91851502,40,88,IAD,DXB,JED,,,,,,,,,,,
982-126-059-811-160,Stevie,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-57161134,6,12,IAD,,LHR,,,,,,,,,,,
941-000-028-434-326,Wally,DOG,Lab Mix,48,32,35,Volaris Carga,036,036-61681734,17,37,ORD,MEX,SJO,,,,,,,,,,,
981-020-025-643-550,Zuri Jordan,DOG,Labrador Retriever,40,27,30,KLM,074,074-46493720,17,37,ATL,AMS,LAX,,,,,,,,,,,
956-000-009-769-149,Ayo Jordan,DOG,Boerbel,55,28,38,KLM,074,074-46493720,97,213,ATL,AMS,LAX,,,,,,,,,,,
985-113-007-061-757,Maya,CAT,Domestic Shorthair,28,21,21,Emirates,176,176-91851432,3,6,IAD,,DXB,,,,,,,,,,,
985-113-005-161-038,Celine,CAT,Domestic Shorthair,28,21,21,Emirates,176,176-91851432,4,9,IAD,,DXB,,,,,,,,,,,
985-113-008-124-385,Jani,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-57160434,3,6,JFK,,MAN,,,,,,,,,,,
985-113-008-124-624,Loki,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-57160434,3,6,JFK,,MAN,,,,,,,,,,,
985-112-012-321-365,Jerico,DOG,Chihuahua,28,21,21,KLM,074,074-45382271,6,13,ATL,AMS,MNL,,,,,,,,,,,
981-020-049-891-021,Luna,DOG,Bernese Mountain Dog,48,32,35,Lufthansa Cargo (LH),020,020-02059385,35,77,SEA,FRA,VIE,,,,,,,,,,,
981-020-049-880-469,Osa,DOG,Bernese Mountain Dog,40,27,30,Lufthansa Cargo (LH),020,020-02059385,28,62,SEA,FRA,VIE,,,,,,,,,,,
981-020-027-539-260,Maya Prindle,DOG,Blue Heeler,40,27,30,Lufthansa Cargo (LH),020,020-1522430,20,45,DEN,,FRA,,,,,,,,,,,
985-112-006-821-087,Sancho Prindle,DOG,Blue Heeler,48,32,35,Lufthansa Cargo (LH),020,020-1522430,28,61,DEN,,FRA,,,,,,,,,,,
981-020-029-844-511,Soka,DOG,Rhodesian Ridgeback,48,32,35,British Airways (BA),125,125-56528732,39,86,DEN,,LHR,,,,,,,,,,,
